Scheme Name	Net Asset Value
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.5321
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10.9071
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10.5532
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	25.2641
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	17.8679
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.059
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1538
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1481
Franklin India Banking & PSU Debt Fund - Direct - Growth	24.1841
Franklin India Banking & PSU Debt Fund - Growth	23.1185
Franklin India Banking and PSU Debt Fund - Direct - IDCW 	11.6319
Franklin India Banking and PSU Debt Fund - IDCW 	10.9996
HDFC Banking and PSU Debt Fund - Growth Option	23.6336
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.6471
HDFC Banking and PSU Debt Fund - IDCW Option	10.1757
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0414
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1907
HSBC Banking and PSU Debt Fund - Direct Growth	26.2999
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.3271
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.354
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.116
HSBC Banking and PSU Debt Fund - Regular Growth	24.9365
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.5654
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3268
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	35.1315
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.1390
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	33.6558
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.1176
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2490.7633
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1064.4279
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1015.8931
Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment)	1051.2951
Invesco India Banking and PSU Fund - Regular Plan - Growth Option	2322.8589
Invesco India Banking and PSU Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment)	1066.842
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.7286
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.7304
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.3485
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.3497
Kotak Banking and PSU Debt - Growth	67.3248
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.6488
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	70.2473
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.2702
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.3175
LIC MF Banking & PSU Fund-Direct Plan-Growth	38.6251
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.5467
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0547
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.4671
LIC MF Banking & PSU Fund-Regular Plan-Growth	35.741
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.3766
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.3872
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.5952
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.5897
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	13.2735
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	13.2746
NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option	22.1461
NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option	10.3848
Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option	22.1461
NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option	10.7695
NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option	11.0097
NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option	10.3840
NIPPON INDIA BANKING and PSU FUND - IDCW Option	21.3062
NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option	10.7004
NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option	10.9420
Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option	22.1459
Nippon India Banking and PSU Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking and PSU Fund- Growth Plan- Growth Option	21.3062
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1500.8989
SBI BANKING & PSU FUND - Direct Plan - Growth	3407.4741
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1319.8405
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1497.5651
SBI BANKING & PSU FUND - Regular Paln - Growth	3201.3013
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1460.5217
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1234.5199
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1460.1736
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8981
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	44.9003
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.1780
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7644
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	44.2461
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.2129
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1334.511
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1302.7083
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1170.5868
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1325.6456
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1155.3545
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1177.402
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1133.4788
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1140.4994
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1246.3543
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1133.821
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1149.0736
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1115.1668
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.5656
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.7808
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.9546
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	15.2321
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.6003
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	17.0848
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	13.3034
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	15.12
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	15.0565
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.3582
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.4726
UTI Banking & PSU Fund- Regular Plan - Growth Option	22.5465
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	118.0036
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	115.946
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.9896
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.9001
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.3335
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.692
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2347
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2403
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.5469
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3772
Axis Corporate Bond Fund - Direct Plan Growth	18.6461
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2345
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.1938
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.5793
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2585
Axis Corporate Bond Fund - Regular Plan Growth	17.5757
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.7913
BANDHAN Corporate Bond Fund - Direct Growth	20.3344
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.6480
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3962
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.4904
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.7195
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.7612
BANDHAN Corporate Bond Fund - Regular Growth	19.7215
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.0339
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6485
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	13.2948
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.7507
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.8095
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	32.8074
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.4907
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.5444
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	12.0757
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	30.1265
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.6778
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.7763
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.7331
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	28.3454
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.5333
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.5559
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.8560
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.7031
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	22.2060
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.8422
DSP Corporate Bond Fund - Direct - Growth	16.7104
DSP Corporate Bond Fund - Direct - IDCW	11.8167
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.6268
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 	11.4543
DSP Corporate Bond Fund - Regular - Growth	16.4069
DSP Corporate Bond Fund - Regular - IDCW	11.7742
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.6014
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 	10.7979
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	111.2039
Franklin India Corporate Debt Fund - Growth	102.4525
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.4898
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.6834
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	14.9404
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.1985
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.8731
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.6629
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.3389
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.1859
HDFC Corporate Bond Fund - Growth Option	33.4119
HDFC Corporate Bond Fund - Growth Option - Direct Plan	34.1768
HDFC Corporate Bond Fund - IDCW Option	20.2265
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.9411
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.6176
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.5177
HSBC Corporate Bond Fund - Direct Annual IDCW	12.352
HSBC Corporate Bond Fund - Direct Growth	80.3003
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.5576
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.1856
HSBC Corporate Bond Fund - Regular Annual IDCW	12.0744
HSBC Corporate Bond Fund - Regular Growth	75.308
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.1424
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	16.8606
HSBC Corporate Bond Fund -Regular Plan - Bonus	28.606
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	32.2100
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2797
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.6428
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	30.7225
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.4336
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	11.3044
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1291.7383
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	3507.8107
Invesco India Corporate Bond Fund - Direct Plan - Growth	3506.6911
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1263.303
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1178.903
Invesco India Corporate Bond Fund - Regular Plan - Annual IDCW (Payout / Reinvestment)	2017.6873
Invesco India Corporate Bond Fund - Regular Plan - Discretionary IDCW (Payout / Reinvestment)	3432.0055
Invesco India Corporate Bond Fund - Regular Plan - Growth	3267.0024
Invesco India Corporate Bond Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment)	1872.5369
Invesco India Corporate Bond Fund - Regular Plan - Quarterly IDCW (Payout / Reinvestment)	1172.8978
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	4059.1189
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1074.1786
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3882.2416
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1264.6846
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
